dimension,value,veto_bin,kept_tiles,tiles,fraction_of_kept,mean_veto_attention_mass,new_max_fraction,mean_v_max_norm,mean_v_variance
layer,11,9-16,42079,3941,0.09365716865895102,0.0691523551940918,0.5371733062674449,7.505681037902832,0.15665917098522186
layer,11,17-32,42079,4544,0.10798735711399986,0.08687929809093475,0.6043133802816901,7.485851764678955,0.15337581932544708
layer,11,33-64,42079,6211,0.14760331756933387,0.1455211639404297,0.6607631621317018,7.534300327301025,0.15240347385406494
layer,11,65-128,42079,15301,0.36362556144395064,0.15048536658287048,0.8358277236781909,7.683781623840332,0.14538587629795074
layer,12,1,42501,4130,0.09717418413684384,0.05773581564426422,0.39782082324455204,8.349791526794434,0.2202843576669693
layer,12,2-4,42501,5463,0.12853815204348132,0.06952247023582458,0.43419366648361707,8.38656997680664,0.2211378663778305
layer,12,5-8,42501,3662,0.08616267852521117,0.07795155048370361,0.4893500819224468,8.370025634765625,0.21719054877758026
layer,12,9-16,42501,4182,0.09839768476035858,0.089039646089077,0.5856049736967958,8.412424087524414,0.22042302787303925
layer,12,17-32,42501,4795,0.11282087480294581,0.10062377899885178,0.6331595411887383,8.505434036254883,0.21955904364585876
layer,12,33-64,42501,6151,0.14472600644690714,0.167050302028656,0.6987481710291009,8.499555587768555,0.21426185965538025
layer,12,65-128,42501,14118,0.3321804192842521,0.16865679621696472,0.8727865136704915,8.60549259185791,0.20221903920173645
layer,13,1,50696,4559,0.08992819946346851,0.055462829768657684,0.47444615047159466,10.595640182495117,0.389888733625412
layer,13,2-4,50696,6422,0.12667666088054286,0.06977902352809906,0.5004671441918406,10.59705638885498,0.38360631465911865
layer,13,5-8,50696,4610,0.09093419599179423,0.08651845157146454,0.5620390455531453,10.675110816955566,0.3873687982559204
layer,13,9-16,50696,5368,0.10588606596181158,0.09663072973489761,0.6190387481371088,10.721478462219238,0.3903684914112091
layer,13,17-32,50696,6171,0.12172557992741044,0.12389740347862244,0.6451142440447253,10.694457054138184,0.3840184211730957
layer,13,33-64,50696,7201,0.14204276471516492,0.155975341796875,0.6862935703374531,10.644139289855957,0.3703881800174713
layer,13,65-128,50696,16365,0.3228065330598075,0.15225838124752045,0.8399633363886343,10.596790313720703,0.3537980616092682
layer,14,1,43557,4186,0.09610395573616182,0.052305594086647034,0.38031533683707597,9.569442749023438,0.3055623471736908
layer,14,2-4,43557,5675,0.130289046536722,0.06457635760307312,0.4315418502202643,9.541179656982422,0.2983933985233307
layer,14,5-8,43557,3807,0.08740271368551553,0.07443585991859436,0.5045967953769372,9.52169132232666,0.29493919014930725
layer,14,9-16,43557,4314,0.09904263379020593,0.07952095568180084,0.5662957811775614,9.443349838256836,0.29009750485420227
