request_id,layer,step,remaining_mask_ratio,tau,pack_m,grouping,candidate_tiles,retained_tiles,all_tiles,exception_rows,grouping_keys,complete_packs,partial_packs,total_packs,full_pack_rows,partial_pack_rows,padded_rows,weighted_utilization,complete_pack_row_fraction,partial_pack_row_fraction,original_v_loads,packed_v_loads,v_load_reduction,v_load_factor,v_bytes_before,v_bytes_after,average_rows_per_original_v_load,average_rows_per_packed_v_load,extra_qk_flops,baseline_qk_flops,candidate_main_pv_flops,packed_pv_flops,pv_flops_avoided,extra_qk_fraction_of_baseline,extra_qk_fraction_of_pv_avoided,q_read_bytes,tile_record_bytes,expanded_descriptor_bytes,count_offset_bytes,pack_descriptor_bytes,total_metadata_bytes,zero_tile_fraction,candidate_fraction_of_retained
context-0-regime-0,0,1,0.89,16,64,kv-head,2620,65028,65536,20093,315,184,314,498,11776,8317,11779,0.6304279618473896,0.5860747524013338,0.4139252475986662,2620,498,0.8099236641221375,5.261044176706827,42926080,8159232,7.669083969465649,40.34738955823293,329203712,137438953472,5494538240,522190848,4972347392,0.0023952722549438477,0.06620690109658373,5143808,104800,642976,2520,15936,766232,0.00775146484375,0.0402903364704435
context-0-regime-0,0,1,0.89,16,128,kv-head,2620,65028,65536,20093,315,48,314,362,6144,13949,26243,0.43363691298342544,0.30577813168765244,0.6942218683123476,2620,362,0.8618320610687022,7.237569060773481,42926080,5931008,7.669083969465649,55.505524861878456,329203712,137438953472,5494538240,759169024,4735369216,0.0023952722549438477,0.069520178255093,5143808,104800,642976,2520,11584,761880,0.00775146484375,0.0402903364704435
context-0-regime-0,0,1,0.89,32,64,q-head,3672,65028,65536,45203,356,536,351,887,34304,10899,11565,0.7962760710259301,0.7588876844457226,0.24111231555427737,3672,887,0.758442265795207,4.139797068771139,60162048,14532608,12.310185185185185,50.96166854565953,740605952,137438953472,7700742144,930086912,6770655232,0.005388617515563965,0.10938467941768623,11571968,146880,1446496,2848,28384,1624608,0.00775146484375,0.05646798302269791
context-0-regime-0,0,1,0.89,32,128,q-head,3672,65028,65536,45203,356,199,354,553,25472,19731,25581,0.6386047694394213,0.5635024224055926,0.43649757759440744,3672,553,0.849400871459695,6.640144665461121,60162048,9060352,12.310185185185185,81.74141048824593,740605952,137438953472,7700742144,1159725056,6541017088,0.005388617515563965,0.1132248917922411,11571968,146880,1446496,2848,17696,1613920,0.00775146484375,0.05646798302269791
context-0-regime-0,0,1,0.89,32,64,kv-head,3672,65028,65536,45203,356,536,351,887,34304,10899,11565,0.7962760710259301,0.7588876844457226,0.24111231555427737,3672,887,0.758442265795207,4.139797068771139,60162048,14532608,12.310185185185185,50.96166854565953,740605952,137438953472,7700742144,930086912,6770655232,0.005388617515563965,0.10938467941768623,11571968,146880,1446496,2848,28384,1624608,0.00775146484375,0.05646798302269791
context-0-regime-0,0,1,0.89,32,128,kv-head,3672,65028,65536,45203,356,199,354,553,25472,19731,25581,0.6386047694394213,0.5635024224055926,0.43649757759440744,3672,553,0.849400871459695,6.640144665461121,60162048,9060352,12.310185185185185,81.74141048824593,740605952,137438953472,7700742144,1159725056,6541017088,0.005388617515563965,0.1132248917922411,11571968,146880,1446496,2848,17696,1613920,0.00775146484375,0.05646798302269791
context-0-regime-1,0,0,0.5,1,64,q-head,602,61430,65536,602,223,0,223,223,0,602,13670,0.0421804932735426,0.0,1.0,602,223,0.6295681063122924,2.6995515695067263,9863168,3653632,1.0,2.6995515695067263,9863168,137438953472,1262485504,233832448,1028653056,7.176399230957031e-05,0.00958843017329256,154112,24080,19264,1784,7136,52264,0.062652587890625,0.009799772098323294
context-0-regime-1,0,0,0.5,1,128,q-head,602,61430,65536,602,223,0,223,223,0,602,27942,0.0210902466367713,0.0,1.0,602,223,0.6295681063122924,2.6995515695067263,9863168,3653632,1.0,2.6995515695067263,9863168,137438953472,1262485504,467664896,794820608,7.176399230957031e-05,0.012409300791556728,154112,24080,19264,1784,7136,52264,0.062652587890625,0.009799772098323294
context-0-regime-1,0,0,0.5,1,64,kv-head,602,61430,65536,602,223,0,223,223,0,602,13670,0.0421804932735426,0.0,1.0,602,223,0.6295681063122924,2.6995515695067263,9863168,3653632,1.0,2.6995515695067263,9863168,137438953472,1262485504,233832448,1028653056,7.176399230957031e-05,0.00958843017329256,154112,24080,19264,1784,7136,52264,0.062652587890625,0.009799772098323294
context-0-regime-1,0,0,0.5,1,128,kv-head,602,61430,65536,602,223,0,223,223,0,602,27942,0.0210902466367713,0.0,1.0,602,223,0.6295681063122924,2.6995515695067263,9863168,3653632,1.0,2.6995515695067263,9863168,137438953472,1262485504,467664896,794820608,7.176399230957031e-05,0.012409300791556728,154112,24080,19264,1784,7136,52264,0.062652587890625,0.009799772098323294
