split,scope,method,rows,u_cosine_count,u_cosine_mean,u_cosine_maximum,u_cosine_minimum,relative_u_error_count,relative_u_error_mean,relative_u_error_maximum,relative_u_error_minimum,relative_contribution_error_count,relative_contribution_error_mean,relative_contribution_error_maximum,relative_contribution_error_minimum,worst_veto_row_relative_u_error_count,worst_veto_row_relative_u_error_mean,worst_veto_row_relative_u_error_maximum,worst_veto_row_relative_u_error_minimum
calibration,veto_only,kmeans_joint_r2,5863,5863,0.5651711480116683,1.0,-0.3615489602088928,5863,0.9060871520835685,6.381099700927734,9.939751907950267e-05,5863,0.06497581693569424,1.1037237644195557,2.7311064059176715e-06,1781,1.0600670435032697,6.381099700927734,0.0005799275240860879
calibration,veto_only,kmeans_joint_r4,5863,5863,0.6215150773075064,0.9999999403953552,-0.315739244222641,5863,0.8596548939995783,6.330565452575684,0.00017457555804867297,5863,0.062398177608298404,1.4635603427886963,1.977931560759316e-06,1781,1.0338775378383984,6.330565452575684,0.0005131060024723411
calibration,veto_only,kmeans_joint_r8,5863,5863,0.6783506077436758,1.0000001192092896,-0.3307094871997833,5863,0.7986296623680217,9.15939712524414,4.360630555311218e-06,5863,0.05891801550116253,2.2636446952819824,7.730334772304559e-08,1781,0.9881282732852559,9.15939712524414,4.8851899919100106e-05
calibration,veto_only,kmeans_k_r1,5863,5863,0.5115766063383071,0.9988512992858887,-0.3832223117351532,5863,0.9402510609154345,3.348433256149292,0.06115458160638809,5863,0.06737645221280877,1.0595096349716187,3.859385287796613e-06,1781,1.0716153337572614,3.348433256149292,0.06914883852005005
calibration,veto_only,kmeans_k_r2,5863,5863,0.5616453829531657,0.9999997615814209,-0.34969019889831543,5863,0.9065422113423715,5.093228340148926,0.0005799275240860879,5863,0.06535482877302344,1.0998144149780273,3.86892543247086e-06,1781,1.0510808591602974,5.093228340148926,0.0005799275240860879
calibration,veto_only,kmeans_k_r4,5863,5863,0.6232397904373044,0.9999999403953552,-0.3540547788143158,5863,0.8334368451661277,6.076521396636963,0.00041369235259480774,5863,0.061929556520596986,1.052053689956665,3.70962652596063e-06,1781,0.9831089207688055,6.076521396636963,0.00041369235259480774
calibration,veto_only,kmeans_k_r8,5863,5863,0.6945840248094025,0.9999999403953552,-0.3200342357158661,5863,0.7503340868636547,4.976914882659912,0.0004173264023847878,5863,0.056366099371948065,1.2856254577636719,2.2638948848907603e-06,1781,0.9093537191806909,4.976914882659912,0.0004173264023847878
calibration,veto_only,mean_v,5863,5863,0.5115766057944134,0.9988512992858887,-0.3832223117351532,5863,0.9402510609154345,3.348433256149292,0.06115458160638809,5863,0.06737645221280877,1.0595096349716187,3.859385287796613e-06,1781,1.0716153337572614,3.348433256149292,0.06914883852005005
calibration,veto_only,norm_weighted_mean_v,5863,5863,0.5155139887208571,0.9983164668083191,-0.4111380875110626,5863,0.9730133093371237,3.3995401859283447,0.05803927779197693,5863,0.0682799170821083,1.0810657739639282,3.907958216586849e-06,1781,1.1240981977845028,3.3995401859283447,0.08233942836523056
calibration,veto_only,oracle_row_centroid_r1,5863,5863,0.6102309631318447,0.9995949268341064,-0.4691263437271118,5863,0.8172685415227473,4.787469863891602,0.050932515412569046,5863,0.06007171596297803,0.9698822498321533,3.4162903830292635e-06,1781,0.9507423401096441,4.787469863891602,0.09947007894515991
calibration,veto_only,oracle_row_centroid_r2,5863,5863,0.7113615365521978,1.0000001192092896,-0.19877292215824127,5863,0.678531963516706,2.455139636993408,0.0,5863,0.05099295036489126,0.9722713232040405,0.0,1781,0.805665669497364,2.455139636993408,0.0
calibration,veto_only,oracle_row_centroid_r4,5863,5863,0.7997852944788504,1.0000001192092896,-0.17134621739387512,5863,0.5498907620947584,2.1793107986450195,0.0,5863,0.04074408285726959,0.9423441290855408,0.0,1781,0.6734641146663616,2.1793107986450195,0.0
calibration,veto_only,oracle_row_centroid_r8,5863,5863,0.873320599042582,1.0000001192092896,-0.22049245238304138,5863,0.42734053861251337,2.0415287017822266,0.0,5863,0.03144472677757823,0.8665416240692139,0.0,1781,0.5379243098164854,2.0415287017822266,0.0
calibration,veto_only,oracle_svd_1,5863,5863,0.6048364403802802,0.9999983310699463,-0.34438538551330566,5863,0.8401070535548302,2.792534589767456,0.002129289787262678,5863,0.061066515322590026,1.0484901666641235,3.53159339283593e-06,1781,0.978345140636988,2.792534589767456,0.025305457413196564
calibration,veto_only,oracle_svd_2,5863,5863,0.6569193386362044,1.0000001192092896,-0.2986227869987488,5863,0.777462238978343,2.7853033542633057,2.2598055693379138e-07,5863,0.05609349366414798,1.0067218542099,4.390402263965143e-09,1781,0.9192992688703107,2.7853033542633057,2.4850139652699e-06
calibration,veto_only,oracle_svd_4,5863,5863,0.7213322639178771,1.0000001192092896,-0.27684301137924194,5863,0.6877721278696342,2.597867250442505,2.2620406525675207e-07,5863,0.05007010313915383,0.9985051155090332,4.02767508234092e-09,1781,0.8279956984841742,2.597867250442505,5.729109489038819e-07
calibration,veto_only,oracle_svd_8,5863,5863,0.7930382706756899,1.0000001192092896,-0.2120548039674759,5863,0.5702047241649236,2.4074227809906006,2.247878541083992e-07,5863,0.04119996929592538,0.9401875138282776,3.997498332353189e-09,1781,0.6989520137793157,2.4074227809906006,5.726173526454659e-07
calibration,veto_only,per_instance_entropy_oracle,5863,5863,0.9999999893661166,1.000000238418579,0.9999997615814209,5863,1.9854362391533786e-07,4.272611988653807e-07,3.845092777510217e-08,5863,1.287660380999673e-08,3.5355691352378926e-07,7.539700200981381e-13,1781,2.3243859102331988e-07,4.272611988653807e-07,3.884983001967157e-08
calibration,veto_only,proxy_mean_q_r1,5863,5863,0.6067557972187912,0.9998019933700562,-0.49700331687927246,5863,0.8081746714368511,6.112452507019043,0.03058827854692936,5863,0.05982439504930106,0.998216450214386,2.387174390605651e-06,1781,0.9425716361031982,6.112452507019043,0.10964006930589676
