split,scope,method,rows,relative_output_error_count,relative_output_error_mean,relative_output_error_maximum,relative_output_error_minimum,row_cosine_count,row_cosine_mean,row_cosine_maximum,row_cosine_minimum,maximum_absolute_output_error,relative_denominator_error_count,relative_denominator_error_mean,relative_denominator_error_maximum,relative_denominator_error_minimum,relative_numerator_error_count,relative_numerator_error_mean,relative_numerator_error_maximum,relative_numerator_error_minimum
test,all_rows,exact_mass__exact_u,36864,36864,7.933671141152871e-08,3.390756830867758e-07,0.0,36864,0.9999999905978458,1.000000238418579,0.9999997019767761,3.337860107421875e-06,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,6.149343452058603e-08,8.696891313775268e-07,0.0
test,all_rows,exact_mass__kmeans_k_r1,36864,36864,0.07976105012965011,1.8625173568725586,0.0,36864,0.9873034244566143,1.000000238418579,-0.11050310730934143,8.676549911499023,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.07976105125464578,1.862517237663269,0.0
test,all_rows,exact_mass__kmeans_k_r2,36864,36864,0.0705753298127221,1.8877496719360352,0.0,36864,0.9893038808779946,1.000000238418579,-0.12326990067958832,7.384983062744141,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.07057533057950974,1.8877497911453247,0.0
test,all_rows,exact_mass__kmeans_k_r4,36864,36864,0.056948871109925275,2.001845121383667,0.0,36864,0.9921646000493638,1.000000238418579,-0.0651325136423111,6.4473371505737305,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.05694887147901589,2.001845121383667,0.0
test,all_rows,exact_mass__kmeans_k_r8,36864,36864,0.0483853756324626,1.8028548955917358,0.0,36864,0.9937317860354192,1.000000238418579,0.008958525955677032,6.24476432800293,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.04838537588236747,1.8028550148010254,0.0
test,all_rows,exact_mass__mean_v,36864,36864,0.07976105012965011,1.8625173568725586,0.0,36864,0.9873034244566143,1.000000238418579,-0.11050310730934143,8.676549911499023,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.07976105125464578,1.862517237663269,0.0
test,all_rows,exact_mass__oracle_centroid_r1,36864,36864,0.06391940724121944,1.4984859228134155,0.0,36864,0.9908184464628802,1.000000238418579,0.15046356618404388,8.289828300476074,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.06391940856284978,1.498486042022705,0.0
test,all_rows,exact_mass__oracle_centroid_r2,36864,36864,0.0450207580197525,1.4443325996398926,0.0,36864,0.9951229427869193,1.000000238418579,0.14222849905490875,8.148153305053711,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.045020758659137614,1.4443327188491821,0.0
test,all_rows,exact_mass__oracle_centroid_r4,36864,36864,0.03467082342333717,1.2191697359085083,0.0,36864,0.9969407230847638,1.000000238418579,0.22572945058345795,7.4822773933410645,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.03467082375893893,1.2191694974899292,0.0
test,all_rows,exact_mass__oracle_centroid_r8,36864,36864,0.026201238390160628,0.8845905661582947,0.0,36864,0.9982127967814449,1.000000238418579,0.4722995162010193,6.199660778045654,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.026201238732572067,0.8845906257629395,0.0
test,all_rows,exact_mass__proxy_mean_q_r1,36864,36864,0.05906993005478586,1.432891845703125,0.0,36864,0.9927472001771902,1.000000238418579,-0.012482523918151855,8.678445816040039,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.05906993088335974,1.4328919649124146,0.0
test,all_rows,exact_mass__proxy_mean_q_r2,36864,36864,0.05532602482979254,1.334902286529541,0.0,36864,0.9936043784762458,1.000000238418579,-0.008014976978302002,9.102919578552246,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.05532602574798057,1.334902286529541,0.0
test,all_rows,exact_mass__proxy_mean_q_r4,36864,36864,0.05054609114209422,1.2584953308105469,0.0,36864,0.9946457907776171,1.000000238418579,-0.0024849548935890198,8.462215423583984,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.05054609190642973,1.2584952116012573,0.0
test,all_rows,exact_mass__proxy_mean_q_r8,36864,36864,0.044402134941242226,1.1449271440505981,0.0,36864,0.9957929343355418,1.000000238418579,0.09204325079917908,7.711560249328613,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.04440213556371069,1.1449270248413086,0.0
test,all_rows,exact_mass__proxy_mean_veto_q_r1,36864,36864,0.06602578523284444,1.7797640562057495,0.0,36864,0.9924840320852835,1.000000238418579,-0.014444179832935333,8.412698745727539,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.06602578602602566,1.7797638177871704,0.0
