split,method,rows,log_z_correlation,absolute_log_z_error_count,absolute_log_z_error_mean,absolute_log_z_error_maximum,absolute_log_z_error_minimum,normalized_mass_correlation,relative_mass_error_count,relative_mass_error_mean,relative_mass_error_maximum,relative_mass_error_minimum,worst_veto_row_relative_mass_error_count,worst_veto_row_relative_mass_error_mean,worst_veto_row_relative_mass_error_maximum,worst_veto_row_relative_mass_error_minimum,candidate_pair_ranking_accuracy,candidate_top1_ranking_accuracy
test,exact,12333,1.0,12333,0.0,0.0,0.0,0.9999999999999648,12333,2.1155766340641174e-07,2.0541215235425625e-06,0.0,3665,3.357186393838772e-07,2.0541215235425625e-06,0.0,1.0,1.0
test,existing_online_proxy,12333,0.27298052891009467,12333,1.6874915083133948,16.53163719177246,0.0,0.5741551666107816,12333,2054.0693036507214,15121632.0,0.0,3665,6775.4456834971315,15121632.0,6.396925300578005e-08,0.6971199641396313,0.48582995951417
test,kmeans_joint_r1,12333,0.4584582977477195,12333,2.878385678937736,20.067502975463867,0.012186408042907715,0.5575579642142838,12333,15.391218530092008,100454.6484375,3.7474732380360365e-05,3665,46.836223253132786,100454.6484375,0.00020232898532412946,0.7207653947442147,0.4979757085020243
test,kmeans_joint_r2,12333,0.5317176928353642,12333,2.545699855683784,18.523517608642578,0.00039386749267578125,0.5178377118035111,12333,10.301787168358,65629.234375,9.100422903429717e-05,3665,31.12187304450738,65629.234375,0.0003022464516106993,0.7337367624810892,0.5546558704453441
test,kmeans_joint_r4,12333,0.6452226087416526,12333,2.154648127940936,16.02094078063965,0.0003871917724609375,0.557757550135048,12333,5.1169380965689815,21174.728515625,4.104741310584359e-05,3665,14.131172793144158,21174.728515625,0.0008884568233042955,0.745699557348574,0.5708502024291497
test,kmeans_joint_r8,12333,0.7429836911498858,12333,1.7500472157048181,17.281288146972656,0.00021195411682128906,0.6014342738191848,12333,4.599073809696333,9756.6611328125,3.0232511107897153e-06,3665,12.82960823000355,9756.6611328125,4.215354420011863e-05,0.7584748136941782,0.5870445344129555
test,kmeans_k_r1,12333,0.4584582977477195,12333,2.878385678937736,20.067502975463867,0.012186408042907715,0.5575579642142838,12333,15.391218530092008,100454.6484375,3.7474732380360365e-05,3665,46.836223253132786,100454.6484375,0.00020232898532412946,0.7207653947442147,0.4979757085020243
test,kmeans_k_r2,12333,0.5466920899083747,12333,2.467106240462679,18.63810920715332,0.00039386749267578125,0.5844098652837604,12333,8.5952633410854,55364.2734375,1.715345206321217e-05,3665,25.059715451948623,55364.2734375,1.715345206321217e-05,0.7382473244803048,0.5748987854251012
test,kmeans_k_r4,12333,0.6473531844765656,12333,2.041993115188204,17.08987808227539,0.00033855438232421875,0.6163367667273635,12333,4.37624380046361,13046.654296875,6.819783493483556e-07,3665,11.5433139175575,13046.654296875,4.725019243778661e-05,0.7569339384770549,0.582995951417004
test,kmeans_k_r8,12333,0.7552588853708134,12333,1.6078552936372854,15.607027053833008,4.57763671875e-05,0.6427472548669394,12333,2.744459791485525,4786.673828125,8.737967618799303e-06,3665,6.490923715576091,4786.673828125,0.00017933943308889866,0.7734633271698325,0.6032388663967612
test,maximum_logit,12333,0.9704366305672478,12333,1.0237953995306068,3.6959779262542725,1.9073486328125e-06,0.964961964924751,12333,0.45573662735138526,5.256636142730713,3.053088948945515e-05,3665,0.6880083041830372,5.256636142730713,0.0005110610509291291,0.8558020955902953,0.6720647773279352
test,maximum_logit_count,12333,0.9704366305204741,12333,3.135087696071341,4.158880233764648,0.46290528774261475,0.9649619640353388,12333,0.45573663264679914,5.256633758544922,2.8614724215003662e-05,3665,0.6880083056851443,5.256633758544922,0.0005110610509291291,0.8558020955902953,0.6720647773279352
