benchmark,condition,axis,index,attention_type,eligible,skipped,softmax_skipped,pv_omitted,compensated,mass_sum,rows,error_sq,dense_sq,denominator_mass_sum,same_budget_best_mass_sum,wrongly_replaced_vs_mass,unnecessarily_retained_vs_mass,physical_sparsity,pv_omission,mass,denominator_mass,relative_error,rescued_rows,prefix_eligible,prefix_skipped,prefix_replaced,canvas_eligible,canvas_skipped,canvas_replaced,boundary_eligible,boundary_skipped,boundary_replaced,softmax_sparsity,compensation_fraction,mass_selection_gap,wrongly_replaced_fraction,rescued_row_rate,prefix_sparsity,canvas_sparsity,boundary_sparsity
ruler8k,blasst_s50,head,5,global,682810.0,498160.0,498160.0,498160.0,0.0,549251.5493507385,683520.0,6573381.0424456,119711011.79345703,549251.5493507385,570146.3367347717,41414.0,41414.0,0.7295733805890365,0.7295733805890365,0.8035632451877612,0.8035632451877612,0.23432970902989705,0.0,656140.0,490984.0,490984.0,21360.0,7147.0,7147.0,5310.0,29.0,29.0,0.7295733805890365,0.0,0.030569386973363182,0.0606523044477966,0.0,0.7482915231505471,0.3345973782771536,0.005461393596986817
ruler8k,blasst_s50,head,5,local,507300.0,144250.0,144250.0,144250.0,0.0,3139205.67660141,3417600.0,5838350.42362041,340271313.6645508,3139205.67660141,3340542.8062286377,66425.0,66425.0,0.2843485117287601,0.2843485117287601,0.9185409868332777,0.9185409868332777,0.13098827118036693,0.0,373800.0,101828.0,101828.0,106800.0,39137.0,39137.0,26700.0,3285.0,3285.0,0.2843485117287601,0.0,0.05891184738624408,0.13093830080820026,0.0,0.27241305510968433,0.36645131086142324,0.12303370786516854
ruler8k,blasst_s50,head,6,global,682810.0,480827.0,480827.0,480827.0,0.0,542280.4284057617,683520.0,7758550.797056198,105068091.26855469,542280.4284057617,558007.8616218567,40614.0,40614.0,0.7041885736881417,0.7041885736881417,0.7933643908089912,0.7933643908089912,0.27174082064490496,0.0,656140.0,473816.0,473816.0,21360.0,6446.0,6446.0,5310.0,565.0,565.0,0.7041885736881417,0.0,0.02300947041212396,0.05948067544412062,0.0,0.72212637546865,0.30177902621722846,0.1064030131826742
ruler8k,blasst_s50,head,6,local,507300.0,131001.0,131001.0,131001.0,0.0,3146034.0786590576,3417600.0,8532763.876185527,311607173.4671631,3146034.0786590576,3324163.0782089233,58395.0,58395.0,0.25823181549379065,0.25823181549379065,0.920538997734977,0.920538997734977,0.16547833420237903,0.0,373800.0,93262.0,93262.0,106800.0,35003.0,35003.0,26700.0,2736.0,2736.0,0.25823181549379065,0.0,0.05212107898813955,0.11510940272028386,0.0,0.24949705724986623,0.3277434456928839,0.10247191011235955
ruler8k,blasst_s50,head,7,global,682810.0,437697.0,437697.0,437697.0,0.0,574772.2272758484,683520.0,4798205.73046093,135967427.27783203,574772.2272758484,591680.1362113953,49174.0,49174.0,0.6410231250274601,0.6410231250274601,0.8409003793244505,0.8409003793244505,0.18785466851196256,0.0,656140.0,431154.0,431154.0,21360.0,6542.0,6542.0,5310.0,1.0,1.0,0.6410231250274601,0.0,0.024736524074711604,0.07201710578345367,0.0,0.6571067150303289,0.3062734082397004,0.00018832391713747646
ruler8k,blasst_s50,head,7,local,507300.0,143676.0,143676.0,143676.0,0.0,3133253.2998924255,3417600.0,8349965.849719982,307933035.65856934,3133253.2998924255,3338272.3819274902,59703.0,59703.0,0.28321703134240095,0.28321703134240095,0.9167993035733923,0.9167993035733923,0.16466989476460586,0.0,373800.0,103268.0,103268.0,106800.0,37698.0,37698.0,26700.0,2710.0,2710.0,0.28321703134240095,0.0,0.059989197692844304,0.11768775872264932,0.0,0.27626538255751737,0.35297752808988764,0.10149812734082397
ruler8k,blasst_s50,head,8,global,682810.0,486019.0,486019.0,486019.0,0.0,516261.40810775757,683520.0,7886798.020266008,101309260.89746094,516261.40810775757,536111.202709198,39869.0,39869.0,0.7117924459219988,0.7117924459219988,0.7552981743149543,0.7552981743149543,0.2790138654767402,0.0,656140.0,478375.0,478375.0,21360.0,7566.0,7566.0,5310.0,78.0,78.0,0.7117924459219988,0.0,0.02904054687710737,0.058389595934447355,0.0,0.7290745877404212,0.35421348314606743,0.014689265536723164
ruler8k,blasst_s50,head,8,local,507300.0,140252.0,140252.0,140252.0,0.0,3082804.2567691803,3417600.0,15305333.950518379,287684092.19226074,3082804.2567691803,3326233.037704468,62228.0,62228.0,0.2764675734279519,0.2764675734279519,0.9020377623973491,0.9020377623973491,0.23065532275166026,0.0,373800.0,100628.0,100628.0,106800.0,37598.0,37598.0,26700.0,2026.0,2026.0,0.2764675734279519,0.0,0.07122799067628964,0.12266508969051843,0.0,0.2692027822364901,0.35204119850187265,0.07588014981273408
ruler8k,blasst_s50,head,9,global,682810.0,395614.0,395614.0,395614.0,0.0,562908.5121955872,683520.0,4394259.434259092,98526783.32617188,562908.5121955872,583039.3098564148,55809.0,55809.0,0.5793910458253394,0.5793910458253394,0.823543586428469,0.823543586428469,0.21118627732524795,0.0,656140.0,388858.0,388858.0,21360.0,6756.0,6756.0,5310.0,0.0,0.0,0.5793910458253394,0.0,0.029451658562774517,0.08173430383269138,0.0,0.5926448623769317,0.3162921348314607,0.0
ruler8k,blasst_s50,head,9,local,507300.0,144945.0,144945.0,144945.0,0.0,3122060.483478546,3417600.0,5785204.756258388,299169467.5749512,3122060.483478546,3328082.0866012573,63409.0,63409.0,0.28571850975753993,0.28571850975753993,0.9135242519541626,0.9135242519541626,0.13905952225769036,0.0,373800.0,104970.0,104970.0,106800.0,38592.0,38592.0,26700.0,1383.0,1383.0,0.28571850975753993,0.0,0.06028253836689817,0.12499310072935146,0.0,0.2808186195826645,0.36134831460674155,0.05179775280898877
